FID,OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,dtcode11,dtname11,Area AC,dtname,stname,stcode11,dtcode11_2,year_stat,Shape_Length,Shape_Area_2,OBJECTID_2,test,Dist_LGD,State_LGD,area_district
"3519","3544","09",UTTAR PRADESH,"06",JYOTIBA PHULE NAGAR *,"41",Amroha,"9",AMROHA,"909", ,1.01459080658,0.0232174533556,"137",Jyotiba Phule Nagar,251.101,Amroha,UTTAR PRADESH,"09","137",2011_c,397787.003126365,2824405492.18864,"195","0","154","9",2160.547
"3510","3535","09",UTTAR PRADESH,"06",JYOTIBA PHULE NAGAR *,"40",Naugawan Sadat,"9",AMROHA,"909", ,2.03298803569,0.046183960108,"137",Jyotiba Phule Nagar,499.259,Amroha,UTTAR PRADESH,"09","137",2011_c,397787.003126365,2824405492.18864,"195","0","154","9",2160.547
"3508","3533","09",UTTAR PRADESH,"06",JYOTIBA PHULE NAGAR *,"39",Dhanaura (SC),"9",AMROHA,"909", ,1.58230015096,0.0648174583811,"137",Jyotiba Phule Nagar,700.423,Amroha,UTTAR PRADESH,"09","137",2011_c,397787.003126365,2824405492.18864,"195","0","154","9",2160.547
"3505","3530","09",UTTAR PRADESH,"04",MORADABAD,"25",Kanth,"6",MORADABAD,"906", ,1.90664140951,0.0488551382527,"135",Moradabad,527.744,Amroha,UTTAR PRADESH,"09","137",2011_c,397787.003126365,2824405492.18864,"195","0","154","9",2160.547
"3503","3528","09",UTTAR PRADESH,"03",BIJNOR,"24",Noorpur,"6",MORADABAD,"906", ,1.25092815714,0.0351490655888,"134",Bijnor,379.057,Amroha,UTTAR PRADESH,"09","137",2011_c,397787.003126365,2824405492.18864,"195","0","154","9",2160.547
"3499","3524","09",UTTAR PRADESH,"03",BIJNOR,"23",Chandpur,"4",BIJNOR,"904", ,1.42604880152,0.0628002556999,"134",Bijnor,677.379,Amroha,UTTAR PRADESH,"09","137",2011_c,397787.003126365,2824405492.18864,"195","0","154","9",2160.547
"3500","3525","09",UTTAR PRADESH,"07",MEERUT,"45",Hastinapur (SC),"4",BIJNOR,"904", ,1.65016844455,0.0691559453968,"138",Meerut,746.324,Amroha,UTTAR PRADESH,"09","137",2011_c,397787.003126365,2824405492.18864,"195","0","154","9",2160.547
"3521","3546","09",UTTAR PRADESH,"09",GHAZIABAD,"60",Garhmukteshwar,"9",AMROHA,"909", ,1.32602919941,0.0512013737833,"705",Hapur,554.183,Amroha,UTTAR PRADESH,"09","137",2011_c,397787.003126365,2824405492.18864,"195","0","154","9",2160.547
"3528","3553","09",UTTAR PRADESH,"06",JYOTIBA PHULE NAGAR *,"42",Hasanpur,"9",AMROHA,"909", ,1.45672290688,0.0683525143268,"137",Jyotiba Phule Nagar,740.808,Amroha,UTTAR PRADESH,"09","137",2011_c,397787.003126365,2824405492.18864,"195","0","154","9",2160.547
"3526","3551","09",UTTAR PRADESH,"04",MORADABAD,"32",Asmoli,"8",SAMBHAL,"908", ,2.08049251931,0.0621274725255,"135",Moradabad,673.664,Amroha,UTTAR PRADESH,"09","137",2011_c,397787.003126365,2824405492.18864,"195","0","154","9",2160.547
