dtname,stname,OBJECTID_1,objectid,vilnam_soi,stcode11,dtcode11,sdtcode11,vilcode11,sdtname,vilname,vilcode,gp_code,gp_name,ishqtr,LOC_STAT_1,LOC_NAME,FID,OBJECTID_2,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,dtcode11_2,dtname11
Balrampur,CHATTISGARH,"99414","233620",Pasta,"22","716","03237","431998",Balrampur,Pasta,"431998",130560,PASTA,Y,Panchayat hq,PASTA,"1024","1027","22",CHHATTISGARH,"02",SURGUJA,"7",Ramanujganj (ST),"1",SURGUJA (ST),"2201", ,3.16419756184,0.20556545179,"716",Balrampur
Balrampur,CHATTISGARH,"99478","233846",Parti,"22","716","03250","433255",Rajpur,Parti,"433255",131099,PARTI,Y,Panchayat hq,PARTI,"1024","1027","22",CHHATTISGARH,"02",SURGUJA,"7",Ramanujganj (ST),"1",SURGUJA (ST),"2201", ,3.16419756184,0.20556545179,"716",Balrampur
Balrampur,CHATTISGARH,"99808","234821",Padhi,"22","716","03237","431999",Balrampur,Padhi,"431999",130559,PADHI,Y,Panchayat hq,PADHI,"1024","1027","22",CHHATTISGARH,"02",SURGUJA,"7",Ramanujganj (ST),"1",SURGUJA (ST),"2201", ,3.16419756184,0.20556545179,"716",Balrampur
Balrampur,CHATTISGARH,"99882","235069",Sargawan,"22","716","03237","431996",Balrampur,Sargawan,"431996",130566,SARGAWA,Y,Panchayat hq,SARGAWA,"1024","1027","22",CHHATTISGARH,"02",SURGUJA,"7",Ramanujganj (ST),"1",SURGUJA (ST),"2201", ,3.16419756184,0.20556545179,"716",Balrampur
Balrampur,CHATTISGARH,"99890","235091",Sargadi,"22","716","03237","431987",Balrampur,Sargadi,"431987",130565,SARGADI,Y,Panchayat hq,SARGADI,"1024","1027","22",CHHATTISGARH,"02",SURGUJA,"7",Ramanujganj (ST),"1",SURGUJA (ST),"2201", ,3.16419756184,0.20556545179,"716",Balrampur
Balrampur,CHATTISGARH,"100042","235570",Sitarampur,"22","716","03237","432001",Balrampur,Sitarampur,"432001",130569,SITARAMPUR,Y,Panchayat hq,SITARAMPUR,"1024","1027","22",CHHATTISGARH,"02",SURGUJA,"7",Ramanujganj (ST),"1",SURGUJA (ST),"2201", ,3.16419756184,0.20556545179,"716",Balrampur
Balrampur,CHATTISGARH,"100448","236852",Chemee (chamanpur),"22","716","03237","431966",Balrampur,Chemee (Chamanpur),"431966",130530,CHAMANPUR,Y,Panchayat hq,CHAMANPUR,"1024","1027","22",CHHATTISGARH,"02",SURGUJA,"7",Ramanujganj (ST),"1",SURGUJA (ST),"2201", ,3.16419756184,0.20556545179,"716",Balrampur
Balrampur,CHATTISGARH,"100494","236979",Kochali,"22","716","03237","431980",Balrampur,Kochali,"431980",130547,KOCHALI,Y,Panchayat hq,KOCHALI,"1024","1027","22",CHHATTISGARH,"02",SURGUJA,"7",Ramanujganj (ST),"1",SURGUJA (ST),"2201", ,3.16419756184,0.20556545179,"716",Balrampur
Balrampur,CHATTISGARH,"100544","237145",Bhairopur(bhutka),"22","716","03237","431965",Balrampur,Bhairopur(Bhutka),"431965",274843,BHAIROPUR,Y,Panchayat hq,BHAIROPUR,"1024","1027","22",CHHATTISGARH,"02",SURGUJA,"7",Ramanujganj (ST),"1",SURGUJA (ST),"2201", ,3.16419756184,0.20556545179,"716",Balrampur
Balrampur,CHATTISGARH,"100554","237176",Daura,"22","716","03237","431979",Balrampur,Daura,"431979",130534,DOIRA,Y,Panchayat hq,DOIRA,"1024","1027","22",CHHATTISGARH,"02",SURGUJA,"7",Ramanujganj (ST),"1",SURGUJA (ST),"2201", ,3.16419756184,0.20556545179,"716",Balrampur
